Tag,Question,Responses 
What,What do you think is the ultimate action film?,"I would go with Die hard.-That is a great action film.-So Iconic.-Yes and one of the only action movies I also consider a christmas movie.-Ha that is true.-Nothing says christmas like die hard.-Well it does take place at a christmas office party.-I think alan rickman would agree.-Hans gruber what a great character.-Rickman did that role so well.-I think of them as two in one almost.-Though rickman was a superb actor in other roles, hans was my favorite performance of his.-I enjoy rickman in all his roles from hans to snape to love actually.-But Hans is such an iconic bad guy and probably my favorite role for him.-Ya I did not care to see hans /rickman in the love actually role at all."
Mummy,Have you seen the last Mummy movie yet?,"No, I have not.-What was it like?-Not sure, I have not seen it either, but I plan on going this weekend.-I have seen the reviews and they look pretty low.-Tom Cruise plays in this one, and hos movies usually are fantastic.-Yes it surprised me the reviews.-The Mummy has some strange looking makeup for the character that plays the Egyptian mummy.-Yes, Alex Kurtzman directed this movie.-THe visual effects look like it will be a block buster.-I hoep the critcs are wrong on this one.-I want to go this weekend.-Enjoy it, and let me know!"
Have,Have you seen percy jackson?,"Yes they are all good movies
They are cery enjoyable
I love all the quests they go on
Me too
Have you read the books too?-A few of them
I liked them
I enjoyed what i did read
Thats good"
Dirty,"Did you ever see Dirty Harry, the movie?","Yes, that was a great movie, Clint Eastwood is one of my favorite actors.-Mine too, his movies are action packed.-He was in a lot of them, did you ever see The Good, The Bad and the Ugly?-Yes, I did , that was one of my favorite movies.-Mine too, it was full of action.-His movies are consistently good, never saw a bad one.-That is true.-I hope he comes out with another soon.-I do too, Clint Eastwood is one great actor, a classic!"
Blade,Have you seen Blade III?,"There was no Blade III.-You're a huge Blade fan, you don't know they made a third one?-Exactly.-I'm a huge Blade fan; I don't acknowledge it exists.-You didn't like it at all?-No.-It was a mess of a plot.-Dracula wasn't really intimidating even though they made him out to be.-I thought the action scenes were cool.-Maybe, but they weren't, like, impressive.-You didn't think Jessica Biel's bow and arrow was cool?-...It was a little cool."
Did,Did you see doctor strange yet?,"I finally got around to watching it
weren't the space time bending effects insane?-yeah , that part where doctor strange has the cloak ""come to him"" was crazy
he got totally lucky in that scene as the bad guys had him outnumbered
what did you think of that time-loop sequence at the end
that was unreal.-that was pretty creative way for strange to get the upper hand
I know , right.-that was amazing!-I really hope they make a sequel soon
I have no doubt that they will"
Dark,Would you rate Dark Knight as the best action movie of all time?,No because it was an action movie but it wasnt at the same time.-In what respect?-You didnt NEED blowing up and fighting for that movie to be good.-So it was more of a thriller?-It did a good job of combinging the two.-That makes it all the more fun.-Ledger acted the heck out of his role.-Bale was a great complementary piece in that one.-Its a shame they couldnt do another one since we dont know if The Joker died.
Do,Do you like action films?,"Yes, very much.-Which one is your favorite?-The Matrix
Is that the one with Keanu Reeves?-Yes, it's awesome.-What is it about?-A guy in a computer simulation realizes the world is an illusion.-Does he escape?-Yes, and then he has all sorts of challenges to overcome."
It,"Do you think bruce willis is a good actor
he is good in action movies
I think he is pretty meh in every other role
I mean he does play the action role perfectly
I have not seen anyone perform it as good
I know right
I honestly wish he would do more movies
It would be pretty cool
Maybe he can do with a good role
It would be nice",
Guardians,Have you seen the new Guardians of the Galaxy?,"Yes, it was awesome!-Have you seen it?-Yes, and it is my new favorite movie!-I love how Marvel brings to life these charaters.-Me too!-The battles were epic and the are like the outlaws of the space world.-Precisely!-It fun because the crew reminds me of a motley crew.-Right, without getting specific, this father-son dynamic, is the driving force behind the tension in the movie.-Yes and that goes along with the original movie and stays with the theme we are used to.-What about that Baby Groot!-Baby Groot steals the show with his big eyes and sweet demeanor.-The movie has every aspect of being a great movie to take teenage kids to."
Point,"What did you think of the remake of the movie ""Point Break""?","I wasn't happy at first, just because I think Hollywood needs to chill out with remaking great old movies, but after watching the remake I thought it was pretty good.-I couldn't agree more.-I can't picture Point Break without Keanu Reeves acting at Johnny Utah but the remake followed the orginal storyline pretty well.-The remake had just as much or even more action scenes then the orginial one that was released in 1991.-Can't believe the first one was released in 1991!-It's still a classic movie and one of my favorites.-Kathryn Bigelow did a fanstatic job directing the orginial Point Break, as an audience member, the film really throws you into Johnny Utah's extreme life.-Speaking of extreme, how bout that skydiving scene in the first movie?-I love that scene.-When Johnny Utah jumps out the airplane with no parachute to catch Bodhi?-Yeah man, I doubt that would be possible in real life but it sure looked good on the big screen.-Sometimes I wish I lived a life like Johnny Utah.-I dressed up as one of the dead presidents for halloween a few years ago."
You,I saw Taken on You Tube last night.,"Good movie.-Liam Neeson?-Yes.-Written by Luc Besson.-Who is the director?-Pierre Morel.-Who plays the daughter?-Maggie Grace.-Isn't she being auctioned off?-Yes, but Neeson kills the corrupt Arab in the end.-Is that pc?"
Hi,Hi.,"Hello.-What is your most favorite action movie?-Of all time?-Yep.-I really like mad max fury road.-Man that is a good choice.-I loved that movie, it's so great.-The action and the story it's all fantastic.-I couldn't agree more."
Who,Who is a great action hero?,"Van Damme
Oh yea, I love his movies
Did you see Universal Soldier?-Yes, it was amazing.-What did you like about it?-I loved the costumes and the story was great.-Do you think that is his best film?-It is definitely one of them.-That might be the best action movie of the 90's."
music,what do you think of fight club?,"that movie is amazing.-everyone loves it.-its a crazy movie.-in that time, i think the only action film i like better is the matrix
red pill or the blue pill?-i want the truth.-i'll be the chosen one.-I think i agree too.-I wanna look like keanu dodging those bullets
and those fighting skills too
The fights were crazy cool"
True,You remember that True Lies movie?,"From way back when.-1994 I think.-Yeah.-That was a pretty solid movie though.-I remember Jamie Lee Curtis was in it as his wife.-Which seems weird as she doesn't seem like a sex symbol.-She actually looked pretty good in it where she had to wear that dress.Which
I appreciated that the movie had a bit of campiness.-Especially at the end.-The main bad guy died by getting stuck on a missile.-That's what I'm saying.-It poked fun at itself.-Better thrillers usually do."
Bruce,My favorite Bruce Willis movie is Die Hard.,"Man, I loved that movie when I was a kid.-Oh, yeah, I thought he was so tough.-I wanted to be like him.-I don't blame you.-He set a standard.-Alan Rickman was a formidable villain, too.-Yes, I thought they worked well together onscreen.-There were lots of cool sequences in that film.-There sure were.-I think a lot of films copied its style.-I thought it was cool that it was set during Christmas, too.-Me, too.-I watch it every Christmas!"
